Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Average Flow Duration,Average Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,34.195.153.29,39372316,236,3.9372316E7,236.0,0.0,0.0
3.28.94.159,192.168.20.48,11135,2,11135.0,2.0,0.0,0.0
35.183.173.98,192.168.20.48,33971,5,33971.0,5.0,0.0,0.0
13.50.30.171,192.168.20.48,5264,5,5264.0,5.0,0.0,0.0
52.46.145.112,192.168.20.43,8729,2,8729.0,2.0,0.0,0.0
192.168.20.48,13.125.158.78,2124185,34,2124185.0,34.0,0.0,0.0
52.222.149.49,192.168.20.43,280,3,280.0,3.0,0.0,0.0
192.168.20.48,43.205.185.100,1926804,68,1926804.0,68.0,0.0,0.0
192.168.20.43,52.94.236.45,416938,12,416938.0,12.0,0.0,0.0
192.168.20.43,52.95.127.117,42615840,14,4.261584E7,14.0,0.0,0.0
192.168.20.43,52.86.20.72,96690621,40,9.6690621E7,40.0,0.0,0.0
192.168.20.48,52.222.149.24,353128,12,353128.0,12.0,0.0,0.0
192.168.20.43,100.21.0.103,59313789,184,5.9313789E7,184.0,0.0,0.0
192.168.20.42,172.217.18.202,230230219,44,2.30230219E8,44.0,0.0,0.0
52.39.190.49,192.168.20.43,1995,1,1995.0,1.0,0.0,0.0
192.168.20.42,172.217.18.206,399572756,1849,1.99786378E8,924.5,6.3868604E7,886.5
192.168.20.43,3.227.250.246,657839,20,657839.0,20.0,0.0,0.0
192.168.20.43,3.227.250.247,619607,19,619607.0,19.0,0.0,0.0
192.168.20.48,52.79.118.208,2194295,34,1097147.5,17.0,7847.5,1.0
192.168.20.43,52.44.174.14,878420563,112,4.392102815E8,56.0,3.299551555E8,42.0
35.167.225.196,192.168.20.43,81,2,81.0,2.0,0.0,0.0
54.77.112.89,192.168.20.19,31132,68,15566.0,34.0,14662.0,32.0
192.168.20.43,72.21.195.82,113695647,11,1.13695647E8,11.0,0.0,0.0
192.168.20.43,52.39.190.49,112572615,176,5.62863075E7,88.0,4.67892585E7,50.0
192.168.20.48,15.236.150.135,203184,52,203184.0,52.0,0.0,0.0
15.168.33.159,192.168.20.48,1226,1,1226.0,1.0,0.0,0.0
192.168.20.43,52.94.225.227,362405,11,362405.0,11.0,0.0,0.0
192.168.20.48,18.155.129.113,215176,42,215176.0,42.0,0.0,0.0
192.168.20.45,52.9.40.194,-140642752,5686,-7.0321376E7,2843.0,1.487549257E9,2601.0
192.168.20.43,44.195.211.0,96259551,42,9.6259551E7,42.0,0.0,0.0
192.168.20.48,54.164.163.115,1488734,68,1488734.0,68.0,0.0,0.0
192.168.20.48,52.119.198.2,762043,27,762043.0,27.0,0.0,0.0
192.168.20.42,216.58.214.166,194984347,20,1.94984347E8,20.0,0.0,0.0
52.222.145.55,192.168.20.48,3558,7,3558.0,7.0,0.0,0.0
192.168.20.43,3.227.250.235,1161224,39,1161224.0,39.0,0.0,0.0
192.168.20.48,54.85.113.165,315322,10,315322.0,10.0,0.0,0.0
192.168.20.48,13.245.125.189,5867624,157,5867624.0,157.0,0.0,0.0
192.168.20.48,15.168.33.159,1044737,18,1044737.0,18.0,0.0,0.0
192.168.20.43,18.155.127.135,60196969,69,6.0196969E7,69.0,0.0,0.0
192.168.20.43,18.155.129.69,120212888,97,1.20212888E8,97.0,0.0,0.0
192.168.20.48,108.137.181.26,5965700,119,2982850.0,59.5,2092442.0,42.5
192.168.20.43,54.166.101.241,50755643,391,5.0755643E7,391.0,0.0,0.0
172.217.18.206,192.168.20.43,1051,1,1051.0,1.0,0.0,0.0
192.168.20.43,209.54.178.166,158417541,22,1.58417541E8,22.0,0.0,0.0
172.217.18.206,192.168.20.42,90229233,15,4.51146165E7,7.5,4.50598815E7,5.5
52.95.126.126,192.168.20.43,2677,1,2677.0,1.0,0.0,0.0
192.168.20.48,176.32.98.108,436019,14,436019.0,14.0,0.0,0.0
52.222.145.55,192.168.20.43,1019470791,37,5.097353955E8,18.5,4.497635865E8,16.5
192.168.20.43,54.239.33.207,99657811,11,9.9657811E7,11.0,0.0,0.0
192.168.20.42,216.58.214.170,181793355,125,1.81793355E8,125.0,0.0,0.0
192.168.20.43,52.46.158.193,109857352,11,1.09857352E8,11.0,0.0,0.0
192.168.20.48,157.175.241.61,1861514,86,1861514.0,86.0,0.0,0.0
192.168.20.48,54.221.200.137,8761035,513,4380517.5,256.5,4017453.5,239.5
192.168.20.48,3.18.23.108,448292,17,448292.0,17.0,0.0,0.0
192.168.20.43,3.227.250.150,751491,20,751491.0,20.0,0.0,0.0
192.168.20.43,3.232.127.207,24811813,172,2.4811813E7,172.0,0.0,0.0
192.168.20.43,209.54.178.134,469445,11,469445.0,11.0,0.0,0.0
192.168.20.43,52.94.221.55,289205425,159,2.89205425E8,159.0,0.0,0.0
142.250.179.99,192.168.20.42,11866,4,11866.0,4.0,0.0,0.0
192.168.20.43,54.208.87.93,1103664217,140,5.518321085E8,70.0,4.426825395E8,56.0
192.168.20.48,108.136.92.85,6012584,120,6012584.0,120.0,0.0,0.0
192.168.20.48,54.85.159.116,159646,5,159646.0,5.0,0.0,0.0
52.95.127.117,192.168.20.43,8950,1,8950.0,1.0,0.0,0.0
54.91.103.251,192.168.20.48,161008,30,161008.0,30.0,0.0,0.0
0.0.0.0,255.255.255.255,1237568,8,1237568.0,8.0,0.0,0.0
34.104.35.123,192.168.20.42,77,2,77.0,2.0,0.0,0.0
18.102.55.180,192.168.20.48,24490,8,24490.0,8.0,0.0,0.0
192.168.20.43,151.101.1.16,76478676,1040,3.8239338E7,520.0,3.5425836E7,224.0
54.157.203.98,192.168.20.48,73954,22,36977.0,11.0,9367.0,5.0
192.168.20.43,52.94.225.206,710129,22,710129.0,22.0,0.0,0.0
192.168.20.48,52.222.149.30,50655,13,50655.0,13.0,0.0,0.0
23.22.232.191,192.168.20.48,2088,2,2088.0,2.0,0.0,0.0
34.195.175.66,192.168.20.48,53027,15,53027.0,15.0,0.0,0.0
192.168.20.43,239.255.255.250,101849953,1236,5.09249765E7,618.0,4.96393935E7,567.0
192.168.20.43,54.161.84.13,16597244,104,8298622.0,52.0,3854827.0,27.0
192.168.20.43,44.234.113.198,200802142,237,2.00802142E8,237.0,0.0,0.0
192.168.20.42,64.233.184.188,-587390887,1011,-2.936954435E8,505.5,1.1629401515E9,300.5
54.187.92.102,192.168.20.43,83,2,83.0,2.0,0.0,0.0
192.168.20.48,15.161.86.203,416753,50,416753.0,50.0,0.0,0.0
192.168.20.48,3.226.156.103,-323175674,1872,-1.61587837E8,936.0,1.983040255E9,856.0
192.168.20.48,8.8.8.8,4173777,579,2086888.5,289.5,1934701.5,266.5
192.168.20.43,3.227.250.142,8022150,19,8022150.0,19.0,0.0,0.0
192.168.20.48,209.54.179.93,375276,14,375276.0,14.0,0.0,0.0
192.168.20.43,34.227.127.81,1215334747,154,6.076673735E8,77.0,4.986733665E8,63.0
52.210.180.223,192.168.20.43,318,2,318.0,2.0,0.0,0.0
192.168.20.43,52.94.219.88,793297566,274,7.93297566E8,274.0,0.0,0.0
142.250.201.170,192.168.20.42,3754,6,3754.0,6.0,0.0,0.0
54.217.52.155,192.168.20.19,119570618,13,1.19570618E8,13.0,0.0,0.0
192.168.20.48,54.205.24.65,7602695,452,3801347.5,226.0,3427545.5,201.0
52.95.123.17,192.168.20.43,1282,1,1282.0,1.0,0.0,0.0
192.168.20.43,52.210.180.223,531371,27,531371.0,27.0,0.0,0.0
54.68.250.149,192.168.20.48,5339,2,5339.0,2.0,0.0,0.0
192.168.20.43,3.208.210.255,1210798551,154,6.053992755E8,77.0,4.960634705E8,63.0
192.168.20.48,54.91.103.251,13986946,873,1.3986946E7,873.0,0.0,0.0
192.168.20.43,3.227.250.206,602545,19,602545.0,19.0,0.0,0.0
16.163.233.23,192.168.20.48,6138,4,6138.0,4.0,0.0,0.0
192.168.20.48,52.119.198.109,368544,14,368544.0,14.0,0.0,0.0
3.6.255.210,192.168.20.48,8692,5,8692.0,5.0,0.0,0.0
192.168.20.43,34.202.156.48,1424241928,182,1.424241928E9,182.0,0.0,0.0
192.168.20.43,34.192.154.181,58303247,1814,5.8303247E7,1814.0,0.0,0.0
192.168.20.48,72.21.207.82,424919,14,424919.0,14.0,0.0,0.0
192.168.20.45,108.177.15.109,20133877,8,2.0133877E7,8.0,0.0,0.0
192.168.20.43,18.233.46.225,23705358,279,2.3705358E7,279.0,0.0,0.0
52.94.224.149,192.168.20.48,6186,11,6186.0,11.0,0.0,0.0
192.168.20.43,54.236.174.203,1093132225,140,1.093132225E9,140.0,0.0,0.0
192.168.20.48,3.112.156.31,3312447,54,3312447.0,54.0,0.0,0.0
192.168.20.48,18.156.17.11,449520,68,449520.0,68.0,0.0,0.0
192.168.20.48,18.155.129.97,164310,40,164310.0,40.0,0.0,0.0
52.46.137.209,192.168.20.43,1483,3,1483.0,3.0,0.0,0.0
192.168.20.43,44.211.15.145,1204410117,154,1.204410117E9,154.0,0.0,0.0
192.168.20.19,216.239.35.12,246017,20,123008.5,10.0,110891.5,9.0
18.155.131.56,192.168.20.43,179908931,8,8.99544655E7,4.0,2.99825205E7,0.0
192.168.20.43,18.155.131.56,301537101,123,1.507685505E8,61.5,3.03245455E7,4.5
